onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.008871726	5	1	0	27.43	47	39.07	151
30.013438359	5	1	0	24.07	4	29.35	97
41.017219646	5	2	0	19.11	169	15.21	97
56.020982245	5	1	0	5.99	131	1.5	114
71.023737155	5	2	0	21.81	52	13.98	8
82.028082909	5	1	0	30.54	38	37.25	132
93.031358757	5	2	0	31.22	174	31.14	11
108.035560981	5	2	0	16.96	80	23.74	115
119.039025971	5	1	0	23.21	13	23.37	28
132.044210151	5	2	0	32.49	177	32.4	108
147.047992186	5	1	0	33.18	165	27.61	104
162.053235078	5	2	0	14.29	12	31.52	66
175.056694834	5	1	0	15.86	150	10.71	91
186.060841419	5	2	0	6.15	51	14.76	177
199.066609323	5	1	0	31.07	35	32.02	162
218.07167023	5	1	1	33.4	71	32.25	30
233.07486285	5	1	1	15.11	173	13.65	125
248.078577203	5	2	1	28.48	63	36.05	135
263.08293903	5	2	1	1.94	86	16.93	155
276.088563546	5	2	1	19.16	46	27.1	180
291.09158362	5	1	1	33.3	69	22.37	42
304.097004038	5	2	1	31.22	174	31.14	11
317.102942622	5	2	1	14.29	12	31.52	66
328.108336279	5	1	1	6.86	138	3.8	48
341.110470511	5	2	1	23.14	88	26.82	139
356.115461999	5	1	1	20.15	151	2.42	61
367.120181711	5	2	1	19.72	13	36.85	54
378.122332801	5	1	1	22.27	163	20.1	56
391.125637445	5	2	1	30.4	35	35.55	77
402.130956744	5	1	1	19.63	89	8.72	33
